# z	  Dc_lcdm	 Dc_wcdm
5.000000000000000104e-03	1.946248047552937166e+01	1.862076324344956291e+01
1.499999999999999944e-02	5.828080076259184494e+01	5.576885924848417631e+01
2.500000000000000139e-02	9.695589382642909015e+01	9.279137317881804847e+01
3.499999999999999639e-02	1.354865442284376229e+02	1.296871211062062912e+02
4.499999999999999833e-02	1.738715736049028067e+02	1.664549489509199418e+02
5.500000000000000028e-02	2.121098409755966827e+02	2.030937328661866843e+02
6.500000000000000222e-02	2.502002430102087942e+02	2.396023795890136512e+02
7.500000000000001110e-02	2.881417142534990035e+02	2.759798267575516775e+02
8.500000000000000611e-02	3.259332273089104319e+02	3.122250431950910752e+02
9.500000000000000111e-02	3.635737929821463013e+02	3.483370291610087293e+02
1.050000000000000100e-01	4.010624603848315246e+02	3.843148165689085545e+02
1.150000000000000050e-01	4.383983169992073954e+02	4.201574691723216688e+02
1.250000000000000000e-01	4.755804887046367639e+02	4.558640827183592137e+02
1.350000000000000089e-01	5.126081397666516750e+02	4.914337850698221928e+02
1.450000000000000178e-01	5.494804727901798742e+02	5.268657362961703257e+02
1.549999999999999989e-01	5.861967286362990990e+02	5.621591287340211238e+02
1.650000000000000078e-01	6.227561863054811511e+02	5.973131870176940765e+02
1.750000000000000167e-01	6.591581627850096083e+02	6.323271680804681409e+02
1.849999999999999978e-01	6.954020128732258854e+02	6.672003611272201624e+02
1.950000000000000067e-01	7.314871289561335743e+02	7.019320875791561321e+02
2.050000000000000155e-01	7.674129407690347762e+02	7.365217009913762922e+02
2.149999999999999967e-01	8.031789151223098315e+02	7.709685869380364238e+02
2.250000000000000056e-01	8.387845556007844152e+02	8.052721628994406728e+02
2.350000000000000144e-01	8.742294022365873616e+02	8.394318780735136443e+02
2.449999999999999956e-01	9.095130311567052104e+02	8.734472132106152458e+02
2.550000000000000044e-01	9.446350542060998805e+02	9.073176804032277687e+02
2.650000000000000133e-01	9.795951185496173821e+02	9.410428228575335652e+02
2.750000000000000222e-01	1.014392906248715008e+03	9.746222146434329261e+02
2.850000000000000311e-01	1.049028133822695963e+03	1.008055460425674596e+03
2.949999999999999845e-01	1.083500551785590233e+03	1.041342195172585207e+03
3.049999999999999933e-01	1.117809944168856873e+03	1.074482083848986804e+03
3.150000000000000022e-01	1.151956128025587077e+03	1.107474821089354691e+03
3.250000000000000111e-01	1.185938952919413168e+03	1.140320130858171979e+03
3.350000000000000200e-01	1.219758300398960728e+03	1.173017766087443761e+03
3.450000000000000289e-01	1.253414083457183096e+03	1.205567508305961383e+03
3.550000000000000377e-01	1.286906245987152715e+03	1.237969167251368617e+03
3.649999999999999911e-01	1.320234762210306599e+03	1.270222580469710465e+03
3.750000000000000000e-01	1.353399636110477559e+03	1.302327612902755845e+03
