# z	dc_LCDM	dc_wCDM
0.005	22.361252965234474	22.366933575014656
0.015	66.92247768463336	66.97294639612754
0.025	111.26771659793087	111.40610011924622
0.034999999999999996	155.3958958693573	155.66361888403875
0.045	199.306008978568	199.7428276474824
0.055	242.99711628320384	243.64115217562934
0.065	286.4683445126869	287.3561189123331
0.07500000000000001	329.71888619634825	330.88535472790255
0.085	372.74799902888714	374.226586551084
0.095	415.5550051764426	417.3776408878685
0.10500000000000001	458.13929052634694	460.3364432311717
0.115	500.50030388380515	503.101017365142
0.125	542.6375561186306	545.6694845687451
0.135	584.5506192653427	588.0400627228211
0.14500000000000002	626.2391255796506	630.2110653252531
0.155	667.7027665546401	672.1809004189322
0.165	708.941291899568	713.9480694373616
0.17500000000000002	749.9545084845412	755.5111659727103
0.185	790.7422792539954	796.868874470986
0.195	831.3045221118759	838.019968859698
0.20500000000000002	871.641208781663	878.9633111124609
0.215	911.7523636435732	919.6978497555089
0.225	951.6380625524575	960.2226183211333
0.23500000000000001	991.2984316382273	1000.5367337526363
0.245	1030.7336460919853	1040.6393947654462
0.255	1069.9439289401907	1080.529880169259
0.265	1108.92954980907	1120.2075471554238
0.275	1147.6908236820716	1159.6718295540384
0.28500000000000003	1186.2281096518489	1198.922236065145
0.295	1224.5418096699493	1237.958348468061
0.305	1262.6323672948672	1276.7798198127373
0.315	1300.5002664419321	1315.3863725971876
0.325	1338.1460301354955	1353.777796934654
0.335	1375.5702192659892	1391.9539487137845
0.34500000000000003	1412.7734313534459	1429.9147477555525
0.35500000000000004	1449.7562993183137	1467.660175969894
0.365	1486.5194902621943	1505.1902755153596
0.375	1523.063704258676	1542.5051469641442
0.385	1559.389673156423	1579.6049474760187
0.395	1595.4981593951816	1616.489888983031
0.405	1631.3899548357922	1653.1602363875256
0.41500000000000004	1667.0658796060118	1689.6163057762878
0.425	1702.5267809614895	1725.8584626517788
0.435	1737.7735321645534	1761.8871201836291
0.445	1772.807031380192	1797.702737481449
0.455	1807.6282005905684	1833.3058178902909
0.465	1842.2379845286666	1868.6969073114171
0.47500000000000003	1876.6373496315164	1903.876592548538
0.485	1910.8272830129301	1938.845499681328
0.495	1944.8087914578111	1973.6042924671701
0.505	1978.5829004361156	2008.1536707725238
0.515	2012.1506531387888	2042.4943690335715
0.525	2045.5131095345116	2076.6271547485917
0.535	2078.6713454486976	2110.5528270013638
0.545	2111.626451663371	2144.2722150166014
0.555	2144.3795330396606	2177.786176747911
0.5650000000000001	2176.9317076617112	2211.0955974987214
0.5750000000000001	2209.2841060025526	2244.201388575987
0.585	2241.4378701120895	2277.104485977225
0.595	2273.394152826492	2309.805849111333
0.605	2305.1541169999564	2342.30645955218
0.615	2336.7189347571607	2374.607319825717
0.625	2368.089786768105	2406.7094522309912
0.635	2399.2678615435975	2438.613897693404
0.645	2430.2543547520177	2470.3217146515058
0.655	2461.050468556915	2501.8339779759376
0.665	2491.6574109753215	2533.151777921474
0.675	2522.076395256	2564.2762191104553
0.685	2552.3086392783166	2595.2084195481466
0.6950000000000001	2582.3553649702426	2625.949509669319
0.7050000000000001	2612.2177977463502	2656.500631415688
0.715	2641.8971659644517	2686.862937343622
0.725	2671.3947004012925	2717.037589761758
0.735	2700.711633746663	2747.02575989799
0.745	2729.849200115483	2776.828627095127
0.755	2758.808634577559	2806.447378035007
0.765	2787.591172705075	2835.8832059901215
0.775	2816.1980501364	2865.1373101026056
0.785	2844.630502157128	2894.210894689359
0.795	2872.889763296991	2923.105168573742
0.805	2900.977066942902	2951.8213444417743
0.8150000000000001	2928.893644967336	2980.360638224312
0.8250000000000001	2956.640727371638	3008.72426850171
0.8350000000000001	2984.2195419443196	3036.913455933652
0.845	3011.6313139338295	3064.9294227109635
0.855	3038.877265734622	3092.773392030094
0.865	3065.9586165878695	3120.4465875890623
0.875	3092.8765822943865	3147.9502331049675
0.885	3119.6323749412422	3175.2855518516703
0.895	3146.227202640126	3202.453766217581
0.905	3172.662269278558	3229.4560972829836
0.915	3198.938774282477	3256.293764415699
0.925	3225.057912390533	3282.967984885672
0.935	3251.020873438944	3309.4799734963913
