[['z' 'DC_LCDM' 'DC_wCDM']
 ['0.0' '0.0' '0.0']
 ['0.01' '44.63782343225101' '44.660383929220224']
 ['0.02' '89.06037269704399' '89.14945332585044']
 ['0.03' '133.26654092712408' '133.46438391653172']
 ['0.04' '177.25528871585496' '177.60245213246677']
 ['0.05' '221.0256437155602' '221.56103516370186']
 ['0.06' '264.57670016565635' '265.3376108890601']
 ['0.07' '307.9076183535952' '308.92975768457177']
 ['0.08' '351.0176240116901' '352.3351541135723']
 ['0.09' '393.9060076529542' '395.55157850193325']
 ['0.1' '436.5721238491051' '438.5769084021579']
 ['0.11' '479.01539045391826' '481.4091199503117']
 ['0.12' '521.235287775121' '524.0462871199627']
 ['0.13' '563.2313576980166' '566.4865808774932']
 ['0.14' '605.0032027640173' '608.7282682432877']
 ['0.15' '646.5504852072505' '650.7697112634373']
 ['0.16' '687.8729259523604' '692.6093658966927']
 ['0.17' '728.9703035766003' '734.2457808214759']
 ['0.18' '769.842453239257' '775.6775961678109']
 ['0.19' '810.4892655813973' '816.9035421790601']
 ['0.2' '850.9106855988645' '857.92243780836']
 ['0.21' '891.1067114913861' '898.7331892546363']
 ['0.22' '931.0773934905816' '939.334788443043']
 ['0.23' '970.8228326695804' '979.7263114546224']
 ['0.24' '1010.3431797368794' '1019.9069169099121']
 ['0.25' '1049.6386338169857' '1059.875844311147']
 ['0.26' '1088.7094412202941' '1099.6324123476063']
 ['0.27' '1127.555894204566' '1139.1760171685469']
 ['0.28' '1166.1783297302798' '1178.5061306280504']
 ['0.29' '1204.577128212027' '1217.6222985059785']
 ['0.3' '1242.7527122680265' '1256.5241387090964']
 ['0.31' '1280.7055454697488' '1295.2113394562793']
 ['0.32' '1318.436131093522' '1333.683657451576']
 ['0.33' '1355.9450108759142' '1371.94091604873']
 ['0.34' '1393.2327637745782' '1409.9830034106278']
 ['0.35000000000000003' '1430.300004736153' '1447.8098706669546']
 ['0.36' '1467.1473834727171' '1485.421530073198']
 ['0.37' '1503.7755832482035' '1522.818053173964']
 ['0.38' '1540.1853196760835' '1559.9995689734083']
 ['0.39' '1576.3773395295445' '1596.9662621154268']
 ['0.4' '1612.3524195652958' '1633.7183710760776']
 ['0.41000000000000003' '1648.1113653620453' '1670.2561863705641']
 ['0.42' '1683.6550101746166' '1706.5800487769254']
 ['0.43' '1718.9842138045883' '1742.6903475784538']
 ['0.44' '1754.0998614882542' '1778.5875188266805']
 ['0.45' '1789.0028628026382' '1814.2720436266502']
 ['0.46' '1823.6941505902141' '1849.7444464460366']
 ['0.47000000000000003' '1858.1746799029188' '1885.0052934495257']
 ['0.48' '1892.4454269659698' '1920.0551908597597']
 ['0.49' '1926.5073881619428' '1954.8947833459947']
 ['0.5' '1960.361579035496' '1989.524752441514']
 ['0.51' '1994.0090333190776' '2023.9458149907014']
 ['0.52' '2027.4508019798807' '2058.1587216265893']
 ['0.53' '2060.6879522882787' '2092.164255279555']
 ['0.54' '2093.721566907903' '2125.963229717768']
 ['0.55' '2126.552743007491' '2159.5564881198634']
 ['0.56' '2159.1825913945804' '2192.9449016802478']
 ['0.5700000000000001' '2191.6122356710853' '2226.1293682473274']
 ['0.58' '2223.842811410752' '2259.1108109949027']
 ['0.59' '2255.875465358451' '2291.890177126849']
 ['0.6' '2287.711354651231' '2324.468436615171']
 ['0.61' '2319.351646061026' '2356.846580971432']
 ['0.62' '2350.7975152588756' '2389.025622051483']
 ['0.63' '2382.050146100498' '2421.0065908933834']
 ['0.64' '2413.110729933013' '2452.7905365883325']
 ['0.65' '2443.980464922612' '2484.3785251843788']
 ['0.66' '2474.660555402934' '2515.7716386226407']
 ['0.67' '2505.1522112438797' '2546.9709737057156']
 ['0.68' '2535.4566472406136' '2577.977641097922']
 ['0.6900000000000001' '2565.5750825224363' '2608.7927643569824']
 ['0.7000000000000001' '2595.508739981239' '2639.4174789967237']
 ['0.71' '2625.2588457192237' '2669.852931580339']
 ['0.72' '2654.826628515541' '2700.100278843737']
 ['0.73' '2684.2133193115314' '2730.1606868484578']
 ['0.74' '2713.4201507142025' '2760.03533016367']
 ['0.75' '2742.448356517595' '2789.7253910766667']
 ['0.76' '2771.299171241676' '2819.232058831333']
 ['0.77' '2799.973829688388' '2848.556528894002']
 ['0.78' '2828.473566514488' '2877.700002246143']
 ['0.79' '2856.799615820802' '2906.66368470325']
 ['0.8' '2884.953210757514' '2935.4487862593933']
 ['0.81' '2912.9355831451217' '2964.056520456788']
 ['0.8200000000000001' '2940.7479631106626' '2992.4881037798064']
 ['0.8300000000000001' '2968.3915787388637' '3020.74475507281']
 ['0.84' '2995.867655737802' '3048.827694981212']
 ['0.85' '3023.1774171187303' '3076.738145415164']
 ['0.86' '3050.3220828896774' '3104.4773290352514']
 ['0.87' '3077.3028697624572' '3132.0464687596177']
 ['0.88' '3104.1209908727283' '3159.446787291917']
 ['0.89' '3130.777655512722' '3186.679506669499']
 ['0.9' '3157.2740688762983' '3213.745847831251']
 ['0.91' '3183.611431815967' '3240.6470302045177']
 ['0.92' '3209.7909406115095' '3267.3842713105405']
 ['0.93' '3235.813786749888' '3293.958786387825']
 ['0.9400000000000001' '3261.68115671607' '3320.3717880329255']
 ['0.9500000000000001' '3287.394231794446' '3346.6244858580667']
 ['0.96' '3312.9541878805244' '3372.7180861650922']
 ['0.97' '3338.362195302553' '3398.6537916352054']
 ['0.98' '3363.6194186527673' '3424.432801033982']
 ['0.99' '3388.7270166279645' '3450.0563089311686']
 ['1.0' '3413.6861418790686' '3475.525505434753']
 ['1.01' '3438.4979408694194' '3500.8415759388363']
 ['1.02' '3463.163553741472' '3526.0057008848325']
 ['1.03' '3487.6841141916307' '3551.0190555355234']
 ['1.04' '3512.0607493529405' '3575.882809761541']
 ['1.05' '3536.2945796853546' '3600.5981278398076']
 ['1.06' '3560.3867188733175' '3625.166168263537']
 ['1.07' '3584.3382737304137' '3649.588083563349']
 ['1.08' '3608.1503441108016' '3673.865020139118']
 ['1.09' '3631.8240228272202' '3697.9981181021403']
 ['1.1' '3655.3603955753065' '3721.9885111272374']
 ['1.11' '3678.7605408639856' '3745.8373263144404']
 ['1.12' '3702.0255299517353' '3769.545684059861']
 ['1.1300000000000001' '3725.156426788462' '3793.114697935418']
 ['1.1400000000000001' '3748.154287962814' '3816.5454745770776']
 ['1.1500000000000001' '3771.0201626546914' '3839.8391135812512']
 ['1.16' '3793.7550925927662' '3862.996707409062']
 ['1.17' '3816.360112016811' '3886.019341298133']
 ['1.18' '3838.836247644645' '3908.9080931816247']
 ['1.19' '3861.1845186435135' '3931.664033614202']
 ['1.2' '3883.405936605709' '3954.288225704663']
 ['1.21' '3905.5015055282834' '3976.7817250549506']
 ['1.22' '3927.4722217966532' '3999.1455797052713']
 ['1.23' '3949.319074171959' '4021.380830085081']
 ['1.24' '3971.043043781999' '4043.4885089696722']
 ['1.25' '3992.6451041156006' '4065.4696414421255']
