# z	  Dc_lcdm	 Dc_wcdm
5.000000000000000104e-03	1.946248047019813043e+01	1.862076323830293134e+01
1.499999999999999944e-02	5.828080074682564060e+01	5.576885923322591765e+01
2.500000000000000139e-02	9.695589380053392858e+01	9.279137315369345629e+01
3.499999999999999639e-02	1.354865441927216239e+02	1.296871210714641904e+02
4.499999999999999833e-02	1.738715735596730099e+02	1.664549489068121488e+02
5.500000000000000028e-02	2.121098409211493561e+02	2.030937328129656976e+02
6.500000000000000222e-02	2.502002429469102651e+02	2.396023795269416325e+02
7.500000000000001110e-02	2.885203732853418614e+02	2.763429350855037683e+02
8.500000000000000611e-02	3.259332272287959995e+02	3.122250431160913990e+02
9.500000000000000111e-02	3.635737928940909569e+02	3.483370290739361508e+02
1.050000000000000100e-01	4.010624602891383006e+02	3.843148164740216544e+02
1.150000000000000050e-01	4.383983168961668753e+02	4.201574690698745940e+02
1.250000000000000000e-01	4.755804885945200908e+02	4.558640826086079869e+02
1.350000000000000089e-01	5.126081396498379945e+02	4.914337849530004405e+02
1.450000000000000178e-01	5.494804726668310195e+02	5.268657361724988277e+02
1.549999999999999989e-01	5.861967285066136810e+02	5.621591286036956490e+02
1.650000000000000078e-01	6.227561861696041206e+02	5.973131868808756053e+02
1.750000000000000167e-01	6.591581626450354179e+02	6.323271679372705876e+02
1.849999999999999978e-01	6.954020127281639816e+02	6.672003609776951407e+02
1.950000000000000067e-01	7.314871288062844314e+02	7.019320874232740834e+02
2.050000000000000155e-01	7.674129406146938663e+02	7.365217008290042031e+02
2.149999999999999967e-01	8.031789149637655782e+02	7.709685867749241197e+02
2.250000000000000056e-01	8.387845554383175113e+02	8.052721627316867625e+02
2.350000000000000144e-01	8.742294020704688364e+02	8.394318779013626681e+02
2.449999999999999956e-01	9.095130309871960890e+02	8.734472130343141316e+02
2.550000000000000044e-01	9.446350540338021347e+02	9.073176802230021849e+02
2.650000000000000133e-01	9.795951183745243043e+02	9.410428226736063380e+02
2.750000000000000222e-01	1.014392906071496441e+03	9.746222144563449774e+02
2.850000000000000311e-01	1.049028133643290403e+03	1.008055460235395572e+03
2.949999999999999845e-01	1.083500551604249949e+03	1.041342194979325996e+03
3.049999999999999933e-01	1.117809943985822883e+03	1.074482083652945448e+03
3.150000000000000022e-01	1.151956127841090165e+03	1.107474820891497984e+03
3.250000000000000111e-01	1.185938952733671613e+03	1.140320130658100425e+03
3.350000000000000200e-01	1.219758300212179847e+03	1.173017765885358131e+03
3.450000000000000289e-01	1.253414083271366508e+03	1.205567508102054489e+03
3.550000000000000377e-01	1.286906245801096929e+03	1.237969167045820086e+03
3.649999999999999911e-01	1.320234762024255360e+03	1.270222580262688098e+03
3.750000000000000000e-01	1.353399635924668473e+03	1.302327612694413801e+03
3.850000000000000089e-01	1.386400900666107191e+03	1.334284156254436084e+03
3.950000000000000178e-01	1.419238618003394777e+03	1.366092129393349069e+03
4.050000000000000266e-01	1.451912877686633692e+03	1.397751476654728094e+03
4.150000000000000355e-01	1.484423796859521872e+03	1.429262168222148148e+03
4.249999999999999889e-01	1.516771519452707253e+03	1.460624199458207158e+03
4.349999999999999978e-01	1.548956215573095051e+03	1.491837590436360415e+03
4.450000000000000067e-01	1.580978080889997727e+03	1.522902385466339410e+03
4.550000000000000155e-01	1.612837336018972110e+03	1.553818652613922495e+03
4.650000000000000244e-01	1.644534225904171535e+03	1.584586483215792441e+03
4.750000000000000333e-01	1.676069019199999957e+03	1.615205991390205554e+03
4.849999999999999867e-01	1.707442007652817438e+03	1.645677313544165600e+03
4.949999999999999956e-01	1.738653505483432127e+03	1.676000607877777156e+03
5.050000000000000044e-01	1.769703848771052435e+03	1.706176053886436648e+03
5.150000000000000133e-01	1.800593394839374469e+03	1.736203851861482462e+03
5.250000000000000222e-01	1.831322521645411143e+03	1.766084222389917841e+03
5.350000000000000311e-01	1.861891627171671871e+03	1.795817405853781565e+03
5.450000000000000400e-01	1.892301128822244891e+03	1.825403661929731243e+03
5.550000000000000488e-01	1.922551462823309521e+03	1.854843269089370324e+03
5.650000000000000577e-01	1.952643083628584236e+03	1.884136524100832730e+03
5.750000000000000666e-01	1.982576463330172373e+03	1.913283741532111208e+03
5.849999999999999645e-01	2.012352091075252019e+03	1.942285253256597116e+03
5.949999999999999734e-01	2.041970472488998439e+03	1.971141407961266623e+03
6.049999999999999822e-01	2.071432129104153773e+03	1.999852570657940760e+03
6.149999999999999911e-01	2.100737597797561193e+03	2.028419122198005198e+03
6.250000000000000000e-01	2.129887430234015937e+03	2.056841458790972865e+03
6.350000000000000089e-01	2.158882192317715635e+03	2.085119991527232287e+03
6.450000000000000178e-01	2.187722463651597991e+03	2.113255145905316112e+03
6.550000000000000266e-01	2.216408837004799807e+03	2.141247361364002700e+03
6.650000000000000355e-01	2.244941917788482897e+03	2.169097090819526784e+03
6.750000000000000444e-01	2.273322323540208799e+03	2.196804800208182769e+03
6.850000000000000533e-01	2.301550683417061464e+03	2.224370968034556881e+03
6.950000000000000622e-01	2.329627637697661612e+03	2.251796084925624655e+03
7.050000000000000711e-01	2.357553837293230117e+03	2.279080653190924295e+03
7.149999999999999689e-01	2.385329943267799536e+03	2.306225186388995098e+03
7.249999999999999778e-01	2.412956626367692024e+03	2.333230208900260095e+03
7.349999999999999867e-01	2.440434566560340954e+03	2.360096255506513899e+03
7.449999999999999956e-01	2.467764452582516697e+03	2.386823870977152637e+03
7.550000000000000044e-01	2.494946981498017522e+03	2.413413609662279669e+03
7.650000000000000133e-01	2.521982858264851529e+03	2.439866035092793936e+03
7.750000000000000222e-01	2.548872795311935079e+03	2.466181719587563293e+03
7.850000000000000311e-01	2.575617512125309986e+03	2.492361243867763278e+03
7.950000000000000400e-01	2.602217734843880407e+03	2.518405196678456832e+03
8.050000000000000488e-01	2.628674195864637113e+03	2.544314174417465892e+03
8.150000000000000577e-01	2.654987633457355514e+03	2.570088780771586698e+03
8.250000000000000666e-01	2.681158791388708323e+03	2.595729626360186558e+03
8.350000000000000755e-01	2.707188418555761473e+03	2.621237328386192075e+03
8.449999999999999734e-01	2.733077268628771890e+03	2.646612510294500680e+03
8.549999999999999822e-01	2.758826099703231648e+03	2.671855801437799528e+03
8.649999999999999911e-01	2.784435673961071643e+03	2.696967836749807702e+03
8.750000000000000000e-01	2.809906757340950662e+03	2.721949256425900330e+03
8.850000000000000089e-01	2.835240119217519805e+03	2.746800705611121884e+03
8.950000000000000178e-01	2.860436532089579941e+03	2.771522834095525013e+03
9.050000000000000266e-01	2.885496771277014886e+03	2.796116296016830347e+03
9.150000000000000355e-01	2.910421614626397513e+03	2.820581749570333159e+03
9.250000000000000444e-01	2.935211842225149212e+03	2.844919856726021408e+03
9.350000000000000533e-01	2.959868236124133091e+03	2.869131282952848323e+03
9.450000000000000622e-01	2.984391580068554958e+03	2.893216696950082223e+03
9.550000000000000711e-01	3.008782659237050211e+03	2.917176770385684904e+03
9.649999999999999689e-01	3.033042259988818842e+03	2.941012177641629023e+03
9.749999999999999778e-01	3.057171169618679869e+03	2.964723595566084441e+03
9.849999999999999867e-01	3.081170176119903772e+03	2.988311703232390755e+03
9.949999999999999956e-01	3.105040067954693313e+03	3.011777181704735085e+03
1.004999999999999893e+00	3.128781633832156786e+03	3.035120713810433244e+03
1.014999999999999902e+00	3.152395662493657255e+03	3.058342983918740629e+03
1.024999999999999911e+00	3.175882942505364554e+03	3.081444677726081864e+03
1.034999999999999920e+00	3.199244262057893593e+03	3.104426482047614627e+03
1.044999999999999929e+00	3.222480408772867122e+03	3.127289084615021238e+03
1.054999999999999938e+00	3.245592169516269678e+03	3.150033173880427967e+03
1.064999999999999947e+00	3.268580330218435392e+03	3.172659438826352925e+03
1.074999999999999956e+00	3.291445675700545053e+03	3.195168568781575686e+03
1.084999999999999964e+00	3.314188989507460974e+03	3.217561253242820840e+03
1.094999999999999973e+00	3.336811053746783728e+03	3.239838181702156362e+03
1.104999999999999982e+00	3.359312648933968831e+03	3.262000043479990381e+03
1.114999999999999991e+00	3.381694553843366521e+03	3.284047527563568110e+03
1.125000000000000000e+00	3.403957545365045917e+03	3.305981322450853895e+03
1.135000000000000009e+00	3.426102398367262140e+03	3.327802115999691523e+03
1.145000000000000018e+00	3.448129885564422693e+03	3.349510595282138638e+03
1.155000000000000027e+00	3.470040777390424864e+03	3.371107446443858862e+03
1.164999999999999813e+00	3.491835841877217717e+03	3.392593354568469749e+03
1.174999999999999822e+00	3.513515844538457713e+03	3.413969003546743807e+03
1.184999999999999831e+00	3.535081548258136991e+03	3.435235075950534792e+03
1.194999999999999840e+00	3.556533713184031967e+03	3.456392252911349715e+03
1.204999999999999849e+00	3.577873096625849939e+03	3.477441214003440109e+03
1.214999999999999858e+00	3.599100452957969537e+03	3.498382637131310275e+03
1.224999999999999867e+00	3.620216533526601779e+03	3.519217198421560170e+03
1.234999999999999876e+00	3.641222086561303058e+03	3.539945572118914242e+03
1.244999999999999885e+00	3.662117857090672260e+03	3.560568430486382113e+03
1.254999999999999893e+00	3.682904586862141059e+03	3.581086443709423747e+03
1.264999999999999902e+00	3.703583014265728707e+03	3.601500279804014554e+03
1.274999999999999911e+00	3.724153874261648980e+03	3.621810604528534441e+03
1.284999999999999920e+00	3.744617898311651516e+03	3.642018081299360801e+03
1.294999999999999929e+00	3.764975814313997489e+03	3.662123371110078097e+03
1.304999999999999938e+00	3.785228346541950941e+03	3.682127132454213552e+03
1.314999999999999947e+00	3.805376215585678437e+03	3.702030021251393919e+03
1.324999999999999956e+00	3.825420138297460198e+03	3.721832690776849631e+03
1.334999999999999964e+00	3.845360827740109926e+03	3.741535791594148577e+03
1.344999999999999973e+00	3.865198993138494643e+03	3.761139971491096276e+03
1.354999999999999982e+00	3.884935339834062233e+03	3.780645875418709238e+03
1.364999999999999991e+00	3.904570569242292095e+03	3.800054145433154190e+03
1.375000000000000000e+00	3.924105378812945673e+03	3.819365420640602679e+03
1.385000000000000009e+00	3.943540461993064127e+03	3.838580337144891928e+03
1.395000000000000018e+00	3.962876508192592155e+03	3.857699527997922360e+03
1.405000000000000027e+00	3.982114202752553865e+03	3.876723623152704022e+03
1.414999999999999813e+00	4.001254226915706113e+03	3.895653249418989617e+03
1.424999999999999822e+00	4.020297257799555609e+03	3.914489030421395910e+03
1.434999999999999831e+00	4.039243968371699793e+03	3.933231586559956668e+03
1.444999999999999840e+00	4.058095027427379136e+03	3.951881534973023463e+03
1.454999999999999849e+00	4.076851099569176313e+03	3.970439489502443394e+03
1.464999999999999858e+00	4.095512845188791289e+03	3.988906060660954608e+03
1.474999999999999867e+00	4.114080920450820486e+03	4.007281855601708230e+03
1.484999999999999876e+00	4.132555977278449973e+03	4.025567478089875294e+03
1.494999999999999885e+00	4.150938663341022220e+03	4.043763528476250485e+03
1.504999999999999893e+00	4.169229622043388190e+03	4.061870603672808556e+03
1.514999999999999902e+00	4.187429492516981554e+03	4.079889297130137948e+03
