z   Dc_LCDM   Dc_wCDM
0.005   22.130043554958803   22.135665428744204
0.015   66.23051705864751   66.28046393708338
0.025   110.11723799204351   110.25419066454263
0.034999999999999996   153.78914362255477   154.05409845244634
0.045   197.2452378369887   197.67753991700553
0.055   240.4845907086367   241.12196744117
0.065   283.5063379963129   284.3849330447005
0.07500000000000001   326.30968057836765   327.46408813544133
0.085   368.89388382474823   370.35718314508483
0.095   411.2582769102163   413.0620670529939
0.10500000000000001   453.40225207186774   455.57668680190085
0.115   495.32526381410446   497.89908660951824
0.125   537.026828064227   540.0274071802934
0.135   578.5065212817974   581.9598848216996
0.14500000000000002   619.7639795249165   623.6948504695955
0.155   660.79889747653   665.2307286272992
0.165   701.6110274338429   706.5660362231002
0.17500000000000002   742.200178263879   747.6993813910069
0.185   782.5662143281803   788.6294621795508
0.195   822.7090543795672   829.355065193505
0.20500000000000002   862.6286704338374   869.8750641733432
0.215   902.3250866191931   910.1884185172735
0.225   941.7983780061261   950.2941717506095
0.23500000000000001   981.0486694204029   990.1914499472049
0.245   1020.0761342417101   1029.8794601075913
0.255   1058.880993190441   1069.3574884983773
0.265   1097.4635131050004   1108.624898957359
0.275   1135.8240057119312   1147.6811311686915
0.28500000000000003   1173.9628263910563   1186.5256989123372
0.295   1211.880372937745   1225.1581882918774
0.305   1249.577084324315   1263.5782559446463
0.315   1287.0534394624774   1301.7856272379852
0.325   1324.3099559686532   1339.780094455273
0.335   1361.3471889338682   1377.561514975238
0.34500000000000003   1398.1657296998626   1415.1298094478832
0.35500000000000004   1434.7662046429427   1452.4849599702231
0.365   1471.1492739670084   1489.6270082648302
0.375   1507.3156305071086   1526.556053864072
0.385   1543.2659985447683   1563.2722523027164
0.395   1579.0011326362676   1599.7758133214481
0.405   1614.521816454941   1636.0669990836757
0.41500000000000004   1649.8288616484979   1672.1461224078344
0.425   1684.9231067122757   1708.0135450172597
0.435   1719.805415879266   1743.6696758095356
0.445   1754.4766780276611   1779.1149691470814
0.455   1788.9378056066173   1814.3499231706014
0.465   1823.1897335808399   1849.3750781368624
0.47500000000000003   1857.233418394533   1884.191014782161
0.485   1891.069836955205   1918.798352712675
0.495   1924.6999856377288   1953.1977488227922
0.505   1958.1248793090276   1987.3898957423842
0.515   1991.345550373676   2021.3755203138676
0.525   2024.363047840671   2055.1553820997915
0.535   2057.1784364115547   2088.7302719215877
0.545   2089.792795590045   2122.1010104300094
0.555   2122.207218813268   2155.268446707697
0.5650000000000001   2154.422812604646   2188.23345690422
0.5750000000000001   2186.440695748465   2220.996942903848
0.585   2218.2619984860885   2253.559831026237
0.595   2249.887861733769   2285.923070760146
0.605   2281.3194363219545   2318.0876335301896
0.615   2312.557882255979   2350.054511496639
0.625   2343.6043679979834   2381.824716388135
0.635   2374.46006976988   2413.399278367202
0.645   2405.1261708771704   2444.7792449283397
0.655   2435.603861053385   2475.965679828451
0.665   2465.8943358249094   2506.9596620493085
0.675   2495.998795895918   2537.762284791738
0.685   2525.9184465531503   2568.3746545011213
0.6950000000000001   2555.6544970902264   2598.797889923849
0.7050000000000001   2585.208160251198   2629.0331211942553
0.715   2614.5806516930083   2659.081488951589
0.725   2643.7731894665358   2688.9441434865357
0.735   2672.7869935158715   2718.6222439167736
0.745   2701.623285195499   2748.116957391046
0.755   2730.283286805001   2777.429458321199
0.765   2758.7682211409433   2806.560927641636
0.775   2787.0793110655736   2835.5125520956153
0.785   2815.217779091957   2864.2855235478137
0.795   2843.184846985177   2892.8810383225737
0.805   2870.981735379249   2921.300296567244
0.8150000000000001   2898.609663409336   2949.544501640009
0.8250000000000001   2926.069848358925   2977.6148595216246
0.8350000000000001   2953.3635053215758   3005.5125782504447
0.845   2980.4918468768683   3033.2388673801597
0.855   3007.456082780188   3060.794937459629
0.865   3034.257419665968   3088.181999534229
0.875   3060.897060764035   3115.401264668122
0.885   3087.376205628686   3142.4539434868525
0.895   3113.696049880152   3169.3412457397053
0.905   3139.8577849580706   3196.064379881231
0.915   3165.8625978866544   3222.6245526714
0.925   3191.7116710511723   3249.022968793788
0.935   3217.4061819854232   3275.260830491281
0.9450000000000001   3242.9473031698785   3301.3393372187243
0.9550000000000001   3268.3362018401385   3327.259685312005
0.965   3293.5740398053977   3353.0230676730266
0.975   3318.661973276604   3378.6306734700747
0.985   3343.6011527039823   3404.0836878530567
0.995   3368.3927226236415   3429.383291683138
1.005   3393.037821512945   3454.530661276266
1.015   3417.537581654373   3479.5269681601385
1.025   3441.8931290075675   3504.3733788441277
1.035   3466.105583089302   3529.0710546017262
1.045   3490.176056861085   3553.621151265065
1.055   3514.105656624151   3578.0248190310754
1.065   3537.8954819215537   3602.283202278881
1.075   3561.5466254471307   3626.3974393980034
1.085   3585.060172961076   3650.368662626988
1.095   3608.4372032118927   3674.1979979020666
1.105   3631.678787864476   3697.886564715475
1.115   3654.7859914341107   3721.4354759830667
1.125   3677.7598712261592   3744.8458379208632
1.135   3700.60147728122   3768.1187499301905
1.145   3723.311852325536   3791.255304491084
1.155   3745.892031726485   3814.2565870636226
1.1649999999999998   3768.343043452902   3837.1236759968765
1.1749999999999998   3790.6659080400905   3859.857642445183
1.1849999999999998   3812.861638559296   3882.459550291421
1.1949999999999998   3834.931240591493   3904.9304560770343
1.2049999999999998   3856.8757122052853   3927.271408938503
1.2149999999999999   3878.6960439387594   3949.48345055
1.2249999999999999   3900.393218785133   3971.5676150719755
1.2349999999999999   3921.968212182018   3993.52492910542
1.2449999999999999   3943.4219920041714   4015.3564116515568
1.255   3964.755518559552   4037.0630740767347
1.265   3985.9697445885695   4058.6459200822956
1.275   4007.065615266364   4080.1059456791877
1.285   4028.0440682079807   4101.44413916713
1.295   4048.9060334763244   4122.661481118108
1.305   4069.6524335927556   4143.758944364012
1.315   4090.2841835501986   4164.7374939882275
1.325   4110.802190828659   4185.5980873209965
1.335   4131.2073554130275   4206.34167393836
1.345   4151.500569813058   4226.969195664536
1.355   4171.6827190854165   4247.4815865775445
1.365   4191.754680857696   4267.879773017931
1.375   4211.71732535431   4288.16467360045
1.385   4231.571515424133   4308.337199228532
1.395   4251.318106569857   4328.398253111423
1.405   4270.957946978905   4348.348730783841
1.4149999999999998   4290.491877555866   4368.189520128032
1.4249999999999998   4309.920731956357   4387.9215013980875
1.4349999999999998   4329.245336622216   4407.545547246411
1.4449999999999998   4348.466510817969   4427.06252275222
1.4549999999999998   4367.585066668488   4446.473285451963
1.4649999999999999   4386.601809197773   4465.77868537155
1.4749999999999999   4405.517536368781   4484.979565060292
1.4849999999999999   4424.333039124249   4504.076759626454
1.4949999999999999   4443.049101428448   4523.071096774318
1.505   4461.66650030978   4541.963396842678
1.515   4480.186005904204   4560.754472844665
1.525   4498.6083814994   4579.445130508828
1.535   4516.9343835796335   4598.036168321389
1.545   4535.164761871261   4616.528377569598
1.555   4553.3002593888295   4634.922542386092
1.565   4571.341612481731   4653.219439794228
1.575   4589.289550881353   4671.419839754285
1.585   4607.144797748676   4689.524505210485
1.595   4624.908069722324   4707.534192138774
1.605   4642.58007696694   4725.4496495953
1.615   4660.161523221941   4743.2716197655145
1.625   4677.65310585055   4761.000838013889
1.635   4695.055515889098   4778.638032934128
1.645   4712.369438096575   4796.183926399897
1.655   4729.595551004349   4813.6392336159615
1.665   4746.734526966072   4831.004663169726
1.6749999999999998   4763.787032207732   4848.280917083119
1.6849999999999998   4780.753726877798   4865.468690864778
1.6949999999999998   4797.635265097458   4882.568673562505
1.7049999999999998   4814.432295010914   4899.581547815939
1.7149999999999999   4831.14545883571   4916.507989909436
1.7249999999999999   4847.775392913071   4933.348669825079
1.7349999999999999   4864.322727758226   4950.104251295847
1.7449999999999999   4880.788088110705   4966.77539185884
1.755   4897.172092984571   4983.362742908597
1.765   4913.475355718586   4999.866949750424
1.775   4929.6984840262885   5016.288651653754
1.785   4945.842080045962   5032.628481905467
1.795   4961.90674039046   5048.887067863182
1.805   4977.893056196924   5065.065031008478
1.815   4993.801613176307   5081.1629870000315
1.825   5009.63299166276   5097.181545726645
1.835   5025.3877666628205   5113.1213113601425
1.845   5041.066507904394   5128.982882408137
1.855   5056.66977988555   5144.766851766606
1.865   5072.198141923091   5160.473806772319
1.875   5087.652148200873   5176.104329255046
1.885   5103.032347817918   5191.658995589563
1.895   5118.339284836249   5207.138376747439
1.905   5133.573498328485   5222.543038348572
1.915   5148.73552242516   5237.873540712488
1.9249999999999998   5163.825886361765   5253.130438909376
1.9349999999999998   5178.845114525525   5268.31428281084
1.9449999999999998   5193.793726501861   5283.425617140382
1.9549999999999998   5208.672237120579   5298.464981523582
1.9649999999999999   5223.481156501752   5313.432910537988
1.9749999999999999   5238.220990101284   5328.329933762681
1.9849999999999999   5252.892238756184   5343.156575827536
1.9949999999999999   5267.4953987295   5357.91335646215
