z_list	comoving_distances_L_CDM	comoving_distances_w_CDM
0.005	22.36125246838194	22.366932345027056
0.015	66.92247623653704	66.97294276898943
0.025	111.26771425499656	111.4060941788836
0.034999999999999996	155.39589268768714	155.663610714474
0.045	199.3060050138987	199.74281733273077
0.055	242.99711159084833	243.64113979959984
0.065	286.468339147488	287.3561045587191
0.07500000000000001	334.0317674224435	335.2279582985391
0.085	372.74799248033435	374.2265684920691
0.095	415.5549981161849	417.37762110015933
0.10500000000000001	462.38544009334754	464.62165107950824
0.115	500.50029595673107	503.1009943650938
0.125	542.6375478349842	545.6694600836673
0.135	584.5506106753082	588.040036832401
0.14500000000000002	630.3956043300003	634.4170994815408
0.155	667.7027574990925	672.1808719532368
0.165	708.9412826831531	713.948039799765
0.17500000000000002	749.9544991539948	755.5111352388979
0.185	790.7422698551111	796.8688427155458
0.195	831.3045126895222	838.0199361560209
0.20500000000000002	871.6411993796839	878.9632775326625
0.215	911.752354304899	919.6978153704297
0.225	951.6380533189779	960.2225832002879
0.23500000000000001	991.2984225508249	1000.5366979641528
0.245	1030.7336371905349	1040.6393583760887
0.255	1069.943920263505	1080.5298432443597
0.265	1108.929541394969	1120.2075097588397
0.275	1147.6908155672734	1159.6717917481633
0.28500000000000003	1186.2281018721226	1198.9221979108884
0.295	1224.5418022599138	1237.9583100247985
0.305	1262.6323602882003	1276.7797811383384
0.315	1300.5002598712092	1315.3863337480238
0.325	1338.1460240322576	1353.777757965528
0.335	1375.5702136607997	1391.9539096779686
0.34500000000000003	1412.7734262757485	1429.9147087047845
0.35500000000000004	1453.4424881173277	1471.422835497631
0.365	1486.5194863239717	1505.190236583792
0.375	1523.063700930417	1542.5051081636716
0.385	1559.3896704636195	1579.6049088522902
0.395	1595.498157362308	1616.4898505801539
0.405	1631.3899534864863	1653.160198248202
0.41500000000000004	1667.0658789628164	1689.6162679416486
0.425	1702.526781046101	1725.8584251615705
0.435	1737.7735329977106	1761.887083076177
0.445	1772.8070329817206	1797.7027007935374
0.455	1807.6282029794493	1833.30578165741
0.465	1842.2379877230169	1868.696871567659
0.47500000000000003	1876.6373536484734	1903.8765573266185
0.485	1910.8272878689845	1938.8454650126316
0.495	1944.8087971684886	1973.6042583818553
0.505	1978.5829070161917	2008.1536372993098
0.515	2012.150660602201	2042.4943362000304
0.525	2045.5131178945392	2076.627122581065
0.535	2078.671354717747	2110.552795524954
0.545	2111.6264618532077	2144.2721842552373
0.555	2144.379544161304	2177.7861467244193
0.5650000000000001	2176.931719725455	2211.095568234748
0.5750000000000001	2209.2841190180625	2244.2013600920704
0.585	2241.4378840883223	2277.1044582929444
0.595	2273.3941677718663	2309.805822245121
0.605	2305.1541329221222	2342.3064335214176
0.615	2336.7189516632798	2374.607294646974
0.625	2368.0898046647035	2406.7094279197768
0.635	2399.2678804366237	2438.6138742643147
0.645	2430.254374646882	2470.3216921181593
0.655	2461.0504894585274	2501.833956351216
0.665	2491.6574328880015	2533.1517572173566
0.675	2522.076418183647	2564.2761993380855
0.685	2552.308663224267	2595.208400717869
0.6950000000000001	2582.3553899374247	2625.949491790723
0.7050000000000001	2615.1939782760282	2659.545322794298
0.715	2641.8971929809295	2686.862921394193
0.725	2671.394728445038	2717.03757478842
0.735	2700.7116628188733	2747.0257459074855
0.745	2729.849230216948	2776.8286140935775
0.755	2758.8086657087597	2806.4473660278923
0.765	2787.5912048659993	2835.8831949823543
0.775	2816.198083326738	2865.1373000984513
0.785	2844.630536376227	2894.210885692622
0.795	2872.8897985439417	2923.1051605875846
0.805	2900.9771032164776	2951.8213374690235
0.8150000000000001	2928.8936822659334	2980.3606322670275
0.8250000000000001	2956.6407656933998	3008.724263561675
0.8350000000000001	2986.9682553114553	3039.722823544707
0.845	3011.6313542953053	3064.9294198088655
0.855	3038.8773071121764	3092.7733901477523
0.865	3065.9586589786068	3120.4465867265108
0.875	3092.8766256952513	3147.950233261825
0.885	3119.632419348848	3175.2855530271995
0.895	3146.227248050973	3202.453768410736
0.905	3172.662315688945	3229.456100492296
0.915	3198.9388216885327	3256.2937686394657
0.925	3225.057960788104	3282.9679901217623
0.935	3251.0209228238823	3309.479979742525
0.9450000000000001	3276.828892525972	3335.8309494879377
0.9550000000000001	3302.4830493248196	3362.0221081926547
0.965	3327.9845671677813	3388.054661221482
0.975	3353.334614345482	3413.929810166611
0.985	3378.534353327648	3439.648752559885
0.995	3403.5849406081047	3465.2126815996085
1.005	3428.4875265586434	3490.6227858913935
1.015	3453.2432552914515	3515.8802492025834
1.025	3477.853264529828	3540.98625022978
1.035	3502.318685486894	3565.941962379012
1.045	3526.6406427520287	3590.748553558103
1.055	3550.820254184753	3615.4071859808164
1.065	3574.8586308158087	3639.9190159823297
1.075	3598.7568767551656	3664.2851938456497
1.085	3622.5160891067158	3688.5068636385527
1.095	3646.1373578894077	3712.585163060663
1.105	3669.62176596458	3736.521223300295
1.115	3692.970388969269	3760.3161689006765
1.125	3716.184295255266	3783.9711176352116
1.135	3739.264545833697	3807.4871803914207
1.145	3762.212194324927	3830.8654610632266
1.155	3785.028286913568	3854.1070564512584
1.1649999999999998	3807.7138623084015	3877.2130561708505
1.1749999999999998	3830.2699517070114	3900.1845425674373
1.1849999999999998	3852.697578764949	3923.022590639037
1.1949999999999998	3874.9977595692408	3945.728267965531
1.2049999999999998	3897.1715026160555	3968.3026346444776
1.2149999999999999	3919.219808792376	3990.746743233171
1.2249999999999999	3941.1436713614876	4013.061638696683
1.2349999999999999	3962.9440759521362	4035.248358361653
1.2449999999999999	3984.6220005511977	4057.3079318755563
1.255	4006.178415499701	4079.2413811712304
1.265	4027.614283492061	4101.049720436427
1.275	4048.9305595783853	4122.733956088163
1.285	4070.128191169704	4144.29508675166
1.295	4091.208118046009	4165.734103243678
1.305	4112.171272366952	4187.051988560013
1.315	4133.018578685098	4208.24971786701
1.325	4153.750953961604	4229.328258496866
1.335	4174.369307584201	4250.28856994657
1.345	4194.874541387395	4271.131603880296
1.355	4215.267549674727	4291.858304135097
1.365	4235.549219243061	4312.469606729714
1.375	4255.720429408728	4332.966439876378
1.385	4275.782052035468	4353.3497239954395
1.395	4295.7349515640835	4373.620371732673
1.405	4315.579985043687	4393.7792879791505
1.4149999999999998	4335.318002164465	4413.827369893519
1.4249999999999998	4354.949845291901	4433.765506926575
1.4349999999999998	4374.476349502328	4453.59458084801
1.4449999999999998	4393.898342619786	4473.315465775211
1.4549999999999998	4413.216645254066	4492.929028203988
1.4649999999999999	4432.432070839899	4512.436127041148
1.4749999999999999	4451.545425677203	4531.837613638785
1.4849999999999999	4470.5575089723325	4551.134331830208
1.4949999999999999	4489.469112880263	4570.327117967387
1.505	4508.281022547642	4589.416800959853
1.515	4526.994016156664	4608.4042023149395
1.525	4545.608864969692	4627.290136179292
1.535	4564.126333374598	4646.075409381561
1.545	4582.547178930738	4664.760821476211
1.555	4600.872152415537	4683.3471647883525
1.565	4619.10199787163	4701.835224459535
1.575	4637.237452654501	4720.225778494437
1.585	4655.279247480591	4738.519597808379
1.595	4673.228106475828	4756.7174462756075
1.605	4691.084747224528	4774.820080778266
1.615	4708.8498808186505	4792.828251256029
1.625	4726.524211907345	4810.74270075632
1.635	4744.108438746768	4828.564165485062
1.645	4761.603253250149	4846.293374857924
1.655	4779.009341038028	4863.931051552005
1.665	4796.327381488694	4881.477911557906
1.6749999999999998	4813.558047788747	4898.934664232156
1.6849999999999998	4830.702006983771	4916.302012349945
1.6949999999999998	4847.759920029097	4933.580652158125
1.7049999999999998	4864.732441840628	4950.771273428439
1.7149999999999999	4881.620221345683	4967.87455951094
1.7249999999999999	4898.423901533872	4984.891187387574
1.7349999999999999	4915.144119507941	5001.821827725883
1.7449999999999999	4931.781506534587	5018.667144932807
1.755	4948.336688095227	5035.427797208541
1.765	4964.810283936686	5052.104436600435
1.775	4981.20290812179	5068.6977090569
1.785	4997.5151690798575	5085.208254481291
1.795	5013.747669657056	5101.636706785753
1.805	5029.901007166625	5117.983693945002
1.815	5045.975773438931	5134.249838050015
1.825	5061.9725548713595	5150.435755361608
1.835	5077.891932478015	5166.542056363898
1.845	5093.734481939229	5182.569345817601
1.855	5109.500773650855	5198.518222813179
1.865	5125.191372773339	5214.389280823798
1.875	5140.8068392805635	5230.183107758088
1.885	5156.347728008442	5245.900286012699
1.895	5171.81458870327	5261.541392524614
1.905	5187.207966069807	5277.106998823238
1.915	5202.528399819095	5292.597671082226
1.9249999999999998	5217.776424715994	5308.013970171047
1.9349999999999998	5232.952570626436	5323.356451706276
1.9449999999999998	5248.0573625643865	5338.625666102598
1.9549999999999998	5263.09132073851	5353.822158623517
1.9649999999999999	5278.054960598529	5368.946469431758
1.9749999999999999	5292.948792881272	5383.99913363936
1.9849999999999999	5307.773323656405	5398.980681357447
1.9949999999999999	5322.529054371858	5413.89163774567
