#measurements of the pre-reconstruction configuration-space 3-wedges of the DR12 combined sample for 0.2 < z < 0.5 
#from Sanchez et al. (2016)
#   s/(Mpc/h)          xi_3w,1       sigma xi_3w,1    
 0.250000000E+01   0.508129515E+01   0.335487226E-01  
 0.750000000E+01   0.175477649E+01   0.128133800E-01  
 0.125000000E+02   0.811639460E+00   0.853051586E-02  
 0.175000000E+02   0.450209654E+00   0.626564463E-02  
 0.225000000E+02   0.274348311E+00   0.502706081E-02  
 0.275000000E+02   0.183417946E+00   0.419071252E-02  
 0.325000000E+02   0.126147337E+00   0.366328175E-02  
 0.375000000E+02   0.906305794E-01   0.323966322E-02  
 0.425000000E+02   0.678271336E-01   0.289725312E-02  
 0.475000000E+02   0.496881186E-01   0.261509235E-02  
 0.525000000E+02   0.378868472E-01   0.243572817E-02  
 0.575000000E+02   0.287368566E-01   0.226021101E-02  
 0.625000000E+02   0.228038633E-01   0.211712101E-02  
 0.675000000E+02   0.187760689E-01   0.196773118E-02  
 0.725000000E+02   0.147455071E-01   0.186674418E-02  
 0.775000000E+02   0.126212652E-01   0.179688999E-02  
 0.825000000E+02   0.917384439E-02   0.168039409E-02  
 0.875000000E+02   0.765291135E-02   0.162113510E-02  
 0.925000000E+02   0.734436950E-02   0.154943153E-02  
 0.975000000E+02   0.779039899E-02   0.148510566E-02  
 0.102500000E+03   0.738948222E-02   0.142664977E-02  
 0.107500000E+03   0.669169258E-02   0.136323854E-02  
 0.112500000E+03   0.527184104E-02   0.129949500E-02  
 0.117500000E+03   0.318501911E-02   0.125842770E-02  
 0.122500000E+03   0.213604088E-02   0.121189143E-02  
 0.127500000E+03   0.219188452E-02   0.117530314E-02  
 0.132500000E+03   0.280375294E-02   0.117320755E-02  
 0.137500000E+03   0.224084367E-02   0.112738286E-02  
 0.142500000E+03   0.178755125E-02   0.109210344E-02  
 0.147500000E+03   0.168831517E-02   0.105078936E-02  
 0.152500000E+03   0.130828199E-02   0.100821498E-02  
 0.157500000E+03   0.284005829E-03   0.975412209E-03  
