#measurements of the pre-reconstruction configuration-space 3-wedges of the DR12 combined sample for 0.4 < z < 0.6 
#from Sanchez et al. (2016)
#   s/(Mpc/h)          xi_3w,1       sigma xi_3w,1   
 0.250000000E+01   0.490494230E+01   0.376509115E-01 
 0.750000000E+01   0.170186088E+01   0.128868169E-01 
 0.125000000E+02   0.769345027E+00   0.773800024E-02 
 0.175000000E+02   0.420139703E+00   0.556656079E-02 
 0.225000000E+02   0.258095153E+00   0.452192628E-02 
 0.275000000E+02   0.167820118E+00   0.375011131E-02 
 0.325000000E+02   0.117470492E+00   0.320425289E-02 
 0.375000000E+02   0.780478022E-01   0.283741728E-02 
 0.425000000E+02   0.564429514E-01   0.252672253E-02 
 0.475000000E+02   0.420055017E-01   0.234450320E-02 
 0.525000000E+02   0.318496621E-01   0.218209110E-02 
 0.575000000E+02   0.245870386E-01   0.202633382E-02 
 0.625000000E+02   0.212844567E-01   0.188190809E-02 
 0.675000000E+02   0.163004172E-01   0.180443255E-02 
 0.725000000E+02   0.127200619E-01   0.168751475E-02 
 0.775000000E+02   0.107288219E-01   0.162343358E-02 
 0.825000000E+02   0.787129943E-02   0.150731859E-02 
 0.875000000E+02   0.736802348E-02   0.144765097E-02 
 0.925000000E+02   0.668778545E-02   0.136205559E-02 
 0.975000000E+02   0.730678084E-02   0.128668314E-02 
 0.102500000E+03   0.693151836E-02   0.123301852E-02 
 0.107500000E+03   0.565077856E-02   0.118397470E-02 
 0.112500000E+03   0.481982999E-02   0.113619458E-02 
 0.117500000E+03   0.394374500E-02   0.108160291E-02 
 0.122500000E+03   0.295957927E-02   0.103716561E-02 
 0.127500000E+03   0.326539444E-02   0.100644544E-02 
 0.132500000E+03   0.310950019E-02   0.965723593E-03 
 0.137500000E+03   0.201373764E-02   0.926680767E-03 
 0.142500000E+03   0.223811671E-02   0.912141979E-03 
 0.147500000E+03   0.207569412E-02   0.904048341E-03 
 0.152500000E+03   0.114348421E-02   0.872267790E-03 
 0.157500000E+03   0.159370206E-02   0.839413042E-03 
