#measurements of the pre-reconstruction configuration-space 3-wedges of the DR12 combined sample for 0.4 < z < 0.6 
#from Sanchez et al. (2016)
#   s/(Mpc/h)          xi_3w,3        sigma xi_3w,3 
 0.250000000E+01   0.649299675E+01   0.487565745E-01
 0.750000000E+01   0.157998382E+01   0.132980564E-01
 0.125000000E+02   0.545219269E+00   0.677862416E-02
 0.175000000E+02   0.255888129E+00   0.485756116E-02
 0.225000000E+02   0.142880487E+00   0.383848388E-02
 0.275000000E+02   0.827739760E-01   0.327941740E-02
 0.325000000E+02   0.492358137E-01   0.293784888E-02
 0.375000000E+02   0.294120498E-01   0.267322333E-02
 0.425000000E+02   0.164071915E-01   0.250368347E-02
 0.475000000E+02   0.747066087E-02   0.228070443E-02
 0.525000000E+02   0.406038104E-02   0.215265378E-02
 0.575000000E+02   0.291408068E-02   0.202297838E-02
 0.625000000E+02   0.118428299E-02   0.189096900E-02
 0.675000000E+02  -0.228704118E-02   0.177061920E-02
 0.725000000E+02  -0.230040221E-02   0.170241142E-02
 0.775000000E+02  -0.250363188E-02   0.163749068E-02
 0.825000000E+02  -0.346095819E-03   0.161952045E-02
 0.875000000E+02  -0.162953888E-02   0.155631270E-02
 0.925000000E+02  -0.159589148E-02   0.146930444E-02
 0.975000000E+02   0.502191417E-03   0.141795716E-02
 0.102500000E+03   0.208358200E-02   0.136182724E-02
 0.107500000E+03   0.189792158E-02   0.128639062E-02
 0.112500000E+03   0.107571669E-02   0.123585420E-02
 0.117500000E+03  -0.445691154E-04   0.119888849E-02
 0.122500000E+03  -0.121224757E-02   0.119128720E-02
 0.127500000E+03  -0.121529775E-02   0.116832845E-02
 0.132500000E+03  -0.172007574E-02   0.114133489E-02
 0.137500000E+03  -0.187700266E-02   0.108908339E-02
 0.142500000E+03  -0.147220263E-02   0.105954149E-02
 0.147500000E+03  -0.118155574E-02   0.104332957E-02
 0.152500000E+03  -0.193394380E-02   0.103128735E-02
 0.157500000E+03  -0.126368365E-02   0.100601234E-02
