# z	dc_LCDM	dc_wCDM
0.005	22.34578330135812	22.35145998125458
0.015	66.8761802684213	66.9266140653244
0.025	111.19074084980332	111.32902863647696
0.034999999999999996	155.28839195262248	155.55592975473763
0.045	199.16812775285112	199.6046442276963
0.055	242.82900925817904	243.47259960228064
0.065	286.2701638021694	287.1573240335607
0.07500000000000001	329.49078447275417	330.65644603359806
0.085	372.4901294781725	373.96769410365823
0.095	415.2675214534947	417.08889625339197
0.10500000000000001	457.8223467109019	460.0179794108375
0.115	500.15405443690855	502.7529687273202
0.125	542.2621558397228	545.2919867815231
0.135	584.1462232499266	587.633252687163
0.14500000000000002	625.8058891776509	629.7750811088489
0.155	667.2408453293889	671.7158811908118
0.165	708.450841587558	713.4541554032811
0.17500000000000002	749.43568495588	754.9884983113429
0.185	790.1952384735939	796.3175952711608
0.195	830.7294201014639	837.4402210584486
0.20500000000000002	871.0382015824771	878.3552384340845
0.215	911.1216072800551	919.0615966517337
0.225	950.9797129965312	959.5583299122997
0.23500000000000001	990.6126447745645	999.8445557699683
0.245	1030.0205776840726	1039.9194734945372
0.255	1069.2037345971914	1079.782362394622
0.265	1108.1623849536609	1119.4325801062487
0.275	1146.8968435189606	1158.869560851205
0.28500000000000003	1185.4074691374137	1198.0928136694279
0.295	1223.6946634823887	1237.1019206295352
0.305	1261.7588698056236	1275.8965350215133
0.315	1299.6005716876102	1314.476379535383
0.325	1337.220291790869	1352.841244429552
0.335	1374.6185906178569	1390.9909856923716
0.34500000000000003	1411.7960652751433	1428.9255232002852
0.35500000000000004	1448.7533482454064	1466.644838875775
0.365	1485.4911061686932	1504.148974848155
0.375	1522.0100386343113	1541.438031620107
0.385	1558.3108769846092	1578.5121662426648
0.395	1594.39438313183	1615.3715905012177
0.405	1630.261348389125	1652.0165691149339
0.41500000000000004	1665.9125923167353	1688.4474179518297
0.425	1701.3489615842605	1724.6645022615828
0.435	1736.5713288498632	1760.6682349280077
0.445	1771.5805916571665	1796.4590747429795
0.455	1806.3776713505442	1832.0375247034387
0.465	1840.963512009416	1867.4041303329686
0.47500000000000003	1875.3390794021	1902.5594780293065
0.485	1909.5053599597088	1937.5041934389983
0.495	1943.4633597705022	1972.2389398603184
0.505	1977.2141035950622	2006.764416675397
0.515	2010.758633902595	2041.081357812438
0.525	2044.098009928599	2075.1905302387595
0.535	2077.2333067541	2109.092732485294
0.545	2110.1656144066037	2142.788793203095
0.555	2142.896036982854	2176.2795697522783
0.5650000000000001	2175.425691793471	2209.565946823755
0.5750000000000001	2207.7557085294598	2242.648835094018
0.585	2239.8872284506006	2275.5291699131617
0.595	2271.8214035956235	2308.20791002625
0.605	2303.55939601411	2340.6860363280525
0.615	2335.10237701997	2372.964550651137
0.625	2366.4515264663605	2405.0444745872132
0.635	2397.6080320418605	2436.9268483415763
0.645	2428.573088587693	2468.612729620464
0.655	2459.3478974357768	2500.103192551055
0.665	2489.933665767357	2531.399326633821
0.675	2520.331605991944	2562.502235726902
0.685	2550.5429351462885	2593.413037062115
0.6950000000000001	2580.568874313085	2624.132860292203
0.7050000000000001	2610.4106480590935	2654.6628465688705
0.715	2640.069483892366	2685.004147651147
0.725	2669.546611738225	2715.1579250435866
0.735	2698.843263433664	2745.1253491637913
0.745	2727.9606722398175	2774.907598538716
0.755	2756.9000723721324	2804.505859029229
0.765	2785.6626985478842	2833.921323082339
0.775	2814.24978555067	2863.1551890105407
0.785	2842.6625678114997	2892.208660297672
0.795	2870.9022790061154	2921.0829449307175
0.805	2898.9701516681544	2949.7792547569334
0.8150000000000001	2926.867416817798	2978.2988048657135
0.8250000000000001	2954.5953036054957	3006.6428129945903
0.8350000000000001	2982.155038970424	3034.812498958753
0.845	3009.5478473132694	3062.8090841035023
0.855	3036.774950182991	3090.6337907790066
0.865	3063.837565977172	3118.2878418367923
0.875	3090.736909655597	3145.7724601473556
0.885	3117.474192466692	3173.088868138299
0.895	3144.050621686459	3200.2382873524216
0.905	3170.467400369559	3227.221938025168
0.915	3196.725727112179	3254.0410386808803
0.925	3222.826795826334	3280.696805747267
0.935	3248.7717955252842	3307.1904531875493
0.9450000000000001	3274.56191011969	3333.5231921497316
0.9550000000000001	3300.1983182242116	3359.696230632452
0.965	3325.6821929742055	3385.71077316689
0.975	3351.014701852203	3411.5680205142053
0.985	3376.197006523854	3437.26916937801
0.995	3401.2302626830365	3462.8154121313605
1.005	3426.115619905821	3488.2079365577883
1.015	3450.8542215129983	3513.447925605894
1.025	3475.4472044408835	3538.53655715703
1.035	3499.8956991201126	3563.4750038056286
1.045	3524.200829362152	3588.2644326517116
1.055	3548.363712253265	3612.9060051051647
1.065	3572.3854580556504	3637.400876701353
1.075	3596.2671701155186	3661.7501969276454
1.085	3620.0099447778434	3685.955109060471
1.095	3643.614871307552	3710.016750012505
1.105	3667.083031816906	3733.9362501896094
1.115	3690.4155011988623	3757.7147333571506
1.125	3713.613347066163	3781.353316515345
1.135	3736.677629695964	3804.8531097832824
1.145	3759.609401979762	3828.2152162912903
1.155	3782.409709378449	3851.4407320812975
