# z	LCDM	wCDM
0.0	0.0	0.0
0.01	44.63789162660954	44.66045215804501
0.02	89.06050875688112	89.14958952177838
0.03	133.2667445218689	133.4645878135264
0.04	177.25555951334863	177.602723460331
0.05	221.02598138215842	221.56137364823144
0.06	264.5771043663311	265.33801625219775
0.07	307.90808875203544	308.93022964456077
0.08	351.018160270402	352.3356923851092
0.09	393.90660943336025	395.55218279632044
0.1	436.57279081164154	438.5775784274557
0.11	479.0161222581319	481.4098554114878
0.12	521.236084079765	524.0470877190431
0.13	563.2322181611437	566.4874463137093
0.14	605.0041270430738	608.7291982132232
0.15	646.5514729591657	650.7707054611735
0.16	687.8739768336385	692.6104240139528
0.17	728.9714172434062	734.2469025477649
0.18	769.8436293475037	775.6787811905566
0.19	810.4905037868317	816.9047901837511
0.2	850.9119855571489	857.9237484786796
0.21	891.10807285818	898.7345622725976
0.22	931.0788159216211	939.3362234891188
0.23	970.8243158207563	979.7278082078733
0.24	1010.3447232643128	1019.9084750481143
0.25	1049.640237377102	1059.8774635109146
0.26	1088.711104469894	1099.6340922845122
0.27	1127.5576168008977	1139.1777575172414
0.28	1166.1801113311062	1178.5079310623778
0.29	1204.5789684756917	1217.6241586990882
0.3	1242.7546108535196	1256.5260583335544
0.31	1280.707502036768	1295.2133181841755
0.32	1318.4381453025335	1333.685694954628
0.33	1355.9470823882123	1371.943011998387
0.34	1393.234892252342	1409.9851574781665
0.35000000000000003	1430.3021898425004	1447.8120825235778
0.36	1467.149624871759	1485.423799390127
0.37	1503.7778806050944	1522.8203796225296
0.38	1540.1876726570715	1560.001952225138
0.39	1576.3797478020185	1596.9687018421305
0.4	1612.3548827978311	1633.7208669499296
0.41000000000000003	1648.1138832244476	1670.2587380641828
0.42	1683.657582337965	1706.5826559634493
0.43	1718.986839941276	1742.693009931616
0.44	1754.102541272026	1778.5902360208804
0.45	1789.0055959086287	1814.2748153370228
0.46	1823.6969366949832	1849.7472723485175
0.47000000000000003	1858.1775186844852	1885.008173220915
0.48	1892.4483181038436	1920.0581241777845
0.49	1926.5103313371567	1954.8977698893673
0.5	1960.364573930634	1989.5277918899865
0.51	1994.0120796183026	2023.9489070251232
0.52	2027.4538993689616	2058.1618659289543
0.53	2060.6911004546146	2092.1674515330546
0.54	2093.724765540547	2125.9664776068353
0.55	2126.555991797173	2159.5597873302213
0.56	2159.1858900337265	2192.9482518989494
0.5700000000000001	2191.6155838538384	2226.132769162798
0.58	2223.84620883299	2259.114262296977
0.59	2255.8789117178035	2291.8936785068086
0.6	2287.714849647096	2324.4719877657813
0.61	2319.355189394583	2356.850181586972
0.62	2350.801106633102	2389.029271827777
0.63	2382.0537852201774	2421.0102895278324
0.64	2413.11441650475	2452.794283779938
0.65	2443.9841986548427	2484.382320633772
0.66	2474.664336005933	2515.775482032106
0.67	2505.156038429771	2546.9748647792126
0.68	2535.4605207233762	2577.9815795411077
0.6900000000000001	2565.5790020179124	2608.796749877229
0.7000000000000001	2595.512705207139	2639.421511303141
0.71	2625.26285639513	2669.8570103837856
0.72	2654.8306843629143	2700.104403856838
0.73	2684.2174200537133	2730.1648577856226
0.74	2713.4242960764163	2760.0395467411004
0.75	2742.452546226951	2789.7296530123726
0.76	2771.3034050271685	2819.236365845138
0.77	2799.9781072808987	2848.560880707561
0.78	2828.4778876467844	2877.70439858294
0.79	2856.803980227537	2906.668125288615
0.8	2884.957618175226	2935.4532708205024
0.81	2912.9400333122267	2964.0610487226736
0.8200000000000001	2940.752455767462	2992.4926754813578
0.8300000000000001	2968.3961136275298	3020.749369942779
0.84	2995.872232602382	3048.8323527542157
