name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar cov_m_s cov_m_c cov_s_c set ra dec
03D1au 0.50309 0.50309 0.0 42.27485581717774 0.12605 0 0 0 0 0 0 0 0 0 0 0 0
03D1ax 0.4948 0.4948 0.0 42.15254133557204 0.11765 0 0 0 0 0 0 0 0 0 0 0 0
03D1co 0.67767 0.67767 0.0 43.137526051716186 0.2056 0 0 0 0 0 0 0 0 0 0 0 0
03D1ew 0.8665 0.8665 0.0 43.94165719911425 0.17385 0 0 0 0 0 0 0 0 0 0 0 0
03D1fq 0.79857 0.79857 0.0 43.41084301528362 0.17435 0 0 0 0 0 0 0 0 0 0 0 0
03D3ay 0.37144 0.37144 0.0 41.40197663491529 0.1245 0 0 0 0 0 0 0 0 0 0 0 0
03D3bl 0.35582 0.35582 0.0 41.52219026694644 0.12645 0 0 0 0 0 0 0 0 0 0 0 0
03D4ag 0.2836 0.2836 0.0 40.835393169854036 0.1028 0 0 0 0 0 0 0 0 0 0 0 0
03D4au 0.4664 0.4664 0.0 41.94040298858604 0.1587 0 0 0 0 0 0 0 0 0 0 0 0
03D4cx 0.94688 0.94688 0.0 44.0126682643138 0.1642 0 0 0 0 0 0 0 0 0 0 0 0
03D4cz 0.69315 0.69315 0.0 42.95217129624824 0.24445 0 0 0 0 0 0 0 0 0 0 0 0
03D4di 0.89693 0.89693 0.0 43.69510462062087 0.16645 0 0 0 0 0 0 0 0 0 0 0 0
03D4fd 0.78904 0.78904 0.0 43.44673232648799 0.11585 0 0 0 0 0 0 0 0 0 0 0 0
03D4gg 0.59027 0.59027 0.0 42.315284796488235 0.1666 0 0 0 0 0 0 0 0 0 0 0 0
04D1dc 0.21075 0.21075 0.0 39.85184738999134 0.10525 0 0 0 0 0 0 0 0 0 0 0 0
04D1ff 0.85852 0.85852 0.0 43.56815994205704 0.1478 0 0 0 0 0 0 0 0 0 0 0 0
04D1hx 0.55875 0.55875 0.0 42.35316189211144 0.1335 0 0 0 0 0 0 0 0 0 0 0 0
04D1iv 0.9964 0.9964 0.0 44.11048562420112 0.1408 0 0 0 0 0 0 0 0 0 0 0 0
04D1jg 0.58294 0.58294 0.0 42.48656439260421 0.1258 0 0 0 0 0 0 0 0 0 0 0 0
