 -->  wCDM with w=-1.1 ; Plots on notebook (es3.ipynb) 
       
   z:       CD_LCDM:   CD_wCDM: 
       
0.0000e+00 0.0000e+00 0.0000e+00
1.0000e-02 4.4638e+01 4.4660e+01
2.0000e-02 8.9060e+01 8.9149e+01
3.0000e-02 1.3327e+02 1.3346e+02
4.0000e-02 1.7726e+02 1.7760e+02
5.0000e-02 2.2103e+02 2.2156e+02
6.0000e-02 2.6458e+02 2.6534e+02
7.0000e-02 3.0791e+02 3.0893e+02
8.0000e-02 3.5102e+02 3.5234e+02
9.0000e-02 3.9391e+02 3.9555e+02
1.0000e-01 4.3657e+02 4.3858e+02
1.1000e-01 4.7902e+02 4.8141e+02
1.2000e-01 5.2124e+02 5.2405e+02
1.3000e-01 5.6323e+02 5.6649e+02
1.4000e-01 6.0500e+02 6.0873e+02
1.5000e-01 6.4655e+02 6.5077e+02
1.6000e-01 6.8787e+02 6.9261e+02
1.7000e-01 7.2897e+02 7.3425e+02
1.8000e-01 7.6984e+02 7.7568e+02
1.9000e-01 8.1049e+02 8.1690e+02
2.0000e-01 8.5091e+02 8.5792e+02
2.1000e-01 8.9111e+02 8.9873e+02
2.2000e-01 9.3108e+02 9.3933e+02
2.3000e-01 9.7082e+02 9.7973e+02
2.4000e-01 1.0103e+03 1.0199e+03
2.5000e-01 1.0496e+03 1.0599e+03
2.6000e-01 1.0887e+03 1.0996e+03
2.7000e-01 1.1276e+03 1.1392e+03
2.8000e-01 1.1662e+03 1.1785e+03
2.9000e-01 1.2046e+03 1.2176e+03
3.0000e-01 1.2428e+03 1.2565e+03
3.1000e-01 1.2807e+03 1.2952e+03
3.2000e-01 1.3184e+03 1.3337e+03
3.3000e-01 1.3559e+03 1.3719e+03
3.4000e-01 1.3932e+03 1.4100e+03
3.5000e-01 1.4303e+03 1.4478e+03
3.6000e-01 1.4671e+03 1.4854e+03
3.7000e-01 1.5038e+03 1.5228e+03
3.8000e-01 1.5402e+03 1.5600e+03
3.9000e-01 1.5764e+03 1.5970e+03
4.0000e-01 1.6124e+03 1.6337e+03
4.1000e-01 1.6481e+03 1.6703e+03
4.2000e-01 1.6837e+03 1.7066e+03
4.3000e-01 1.7190e+03 1.7427e+03
4.4000e-01 1.7541e+03 1.7786e+03
4.5000e-01 1.7890e+03 1.8143e+03
4.6000e-01 1.8237e+03 1.8497e+03
4.7000e-01 1.8582e+03 1.8850e+03
4.8000e-01 1.8924e+03 1.9201e+03
4.9000e-01 1.9265e+03 1.9549e+03
5.0000e-01 1.9604e+03 1.9895e+03
5.1000e-01 1.9940e+03 2.0239e+03
5.2000e-01 2.0275e+03 2.0582e+03
5.3000e-01 2.0607e+03 2.0922e+03
5.4000e-01 2.0937e+03 2.1260e+03
5.5000e-01 2.1266e+03 2.1596e+03
5.6000e-01 2.1592e+03 2.1929e+03
5.7000e-01 2.1916e+03 2.2261e+03
5.8000e-01 2.2238e+03 2.2591e+03
5.9000e-01 2.2559e+03 2.2919e+03
6.0000e-01 2.2877e+03 2.3245e+03
6.1000e-01 2.3194e+03 2.3568e+03
6.2000e-01 2.3508e+03 2.3890e+03
6.3000e-01 2.3821e+03 2.4210e+03
6.4000e-01 2.4131e+03 2.4528e+03
6.5000e-01 2.4440e+03 2.4844e+03
6.6000e-01 2.4747e+03 2.5158e+03
6.7000e-01 2.5052e+03 2.5470e+03
6.8000e-01 2.5355e+03 2.5780e+03
6.9000e-01 2.5656e+03 2.6088e+03
7.0000e-01 2.5955e+03 2.6394e+03
7.1000e-01 2.6253e+03 2.6699e+03
7.2000e-01 2.6548e+03 2.7001e+03
7.3000e-01 2.6842e+03 2.7302e+03
7.4000e-01 2.7134e+03 2.7600e+03
7.5000e-01 2.7424e+03 2.7897e+03
7.6000e-01 2.7713e+03 2.8192e+03
7.7000e-01 2.8000e+03 2.8486e+03
7.8000e-01 2.8285e+03 2.8777e+03
